y,y_pred
1,0.996606588364
1,0.987595796585
1,0.942143142223
1,0.995632827282
1,0.98184043169
0,0.588742434978
1,0.980721116066
1,0.994961380959
1,0.99065965414
1,0.990705311298
1,0.98879468441
1,0.995649397373
1,0.989499211311
1,0.999491930008
1,0.896175146103
1,0.990503072739
1,0.954801023006
1,0.98961520195
1,0.993131816387
1,0.980131566525
1,0.998317122459
1,0.995878219604
1,0.976249575615
1,0.995826005936
1,0.999272048473
1,0.988287627697
1,0.983057677746
1,0.980598449707
1,0.983622968197
1,0.96472209692
1,0.997080981731
1,0.98565107584
1,0.993070781231
1,0.994965612888
1,0.994070470333
1,0.979775309563
1,0.990977525711
1,0.973543286324
1,0.977961182594
1,0.977024674416
1,0.972301363945
0,0.390776336193
1,0.835428535938
1,0.97945612669
1,0.983133792877
1,0.983637392521
1,0.915964901447
1,0.994481444359
1,0.991921186447
1,0.958938717842
1,0.985264837742
1,0.932234764099
1,0.947519302368
1,0.997034430504
1,0.99254989624
0,0.505440592766
1,0.972737729549
1,0.992918908596
1,0.974220335484
1,0.962079942226
1,0.995361626148
1,0.996076285839
1,0.995320022106
1,0.936748564243
1,0.901021838188
1,0.982976913452
0,0.624488592148
1,0.990336060524
0,0.122173435986
1,0.771955728531
1,0.997130453587
1,0.990426778793
1,0.991263389587
1,0.869995474815
1,0.989605545998
1,0.984856963158
1,0.997858703136
1,0.988454818726
1,0.976949691772
1,0.990508437157
1,0.991108417511
1,0.984621286392
1,0.993485033512
1,0.988703429699
1,0.991626024246
1,0.952965140343
1,0.991932332516
1,0.986856758595
1,0.993698716164
1,0.953633546829
1,0.992321312428
0,0.0680603533983
1,0.655025005341
1,0.938423156738
1,0.989422500134
1,0.986327648163
1,0.993558228016
1,0.966230452061
1,0.993162631989
1,0.981850206852
1,0.994550406933
1,0.994667649269
0,0.327909529209
1,0.992999911308
1,0.980078995228
1,0.954272985458
1,0.992924451828
1,0.979566514492
1,0.999251306057
1,0.994980037212
1,0.993108391762
1,0.98862272501
0,0.21851092577
1,0.978624045849
1,0.982994675636
1,0.994531989098
1,0.981369495392
1,0.986024796963
1,0.991226971149
1,0.676343023777
1,0.985355138779
1,0.994471430779
0,0.604059576988
1,0.992898821831
1,0.984013974667
1,0.999303817749
1,0.994235932827
1,0.991100847721
1,0.688597917557
1,0.984020769596
1,0.997220993042
1,0.995878219604
1,0.989520907402
1,0.960201025009
1,0.99217903614
1,0.993804454803
1,0.954941809177
1,0.996004998684
1,0.993436098099
1,0.996233999729
1,0.98073887825
1,0.947155952454
1,0.892277359962
1,0.996501088142
1,0.98075312376
1,0.998862028122
1,0.89589548111
1,0.997160434723
1,0.998572230339
1,0.991147994995
1,0.997424483299
1,0.98099821806
1,0.992194771767
1,0.918507754803
1,0.994957983494
1,0.998629570007
0,0.290687888861
1,0.982800722122
1,0.978809773922
0,0.501703023911
1,0.995400607586
1,0.996980965137
1,0.956921219826
1,0.997683644295
1,0.989793777466
1,0.997514486313
1,0.975186765194
1,0.98707818985
1,0.975099563599
1,0.991664409637
0,0.19906231761
1,0.999034047127
1,0.955447793007
1,0.990336537361
1,0.990803718567
1,0.989033222198
1,0.992148637772
1,0.997447609901
1,0.996470689774
1,0.993479371071
1,0.985578536987
1,0.998075485229
